WKT,名前,男子トイレ,女子トイレ,多機能トイレ
"POINT (138.1879031 36.6606083)",御安心処,手洗：４
洋式：２
和式：１
小便器：６
乳幼児チェア：１,手洗：５
洋式：７
和式：１
おむつ台：１
乳幼児チェア：２,２か所
オストメイト対応：１
おむつ台：１
乳幼児チェア：１
※他に子供用トイレ（大・小）があります。
"POINT (138.1883177 36.6692824)",雲上台,手洗：１
洋式：１
小便器：２,手洗：１
洋式：２,１か所
おむつ台：１
乳幼児チェア：１
"POINT (138.1885072 36.6561421)",東司（とうす）,手洗：２
洋式：１
和式：１
小便器：４
乳幼児チェア：１,手洗：２
洋式：４
和式：１
おむつ台：１
乳幼児チェア：２,１か所
オストメイト対応：１
おむつ台：１
乳幼児チェア：１
"POINT (138.1886557 36.643912)",ふれ愛の交差点,手洗：２
洋式：１
小便器：２
乳幼児チェア：１,手洗：２
洋式：２
和式：１
乳幼児チェア：１,１か所
オストメイト対応：１
おむつ台：１
乳幼児チェア：１
"POINT (138.1909279 36.6533228)",杜の化粧処,手洗：１
洋式：１
小便器：２,手洗：１
洋式：１
和式：１,１か所
おむつ台：１
"POINT (138.1887948 36.6546698)",憩カラフルハウス,手洗：１
洋式：１
小便器：２,手洗：２
洋式：２,１か所
おむつ台：１
乳幼児チェア：１
"POINT (138.1914997 36.6503158)",藤棚のオアシス,手洗：１
洋式：１
小便器：２,手洗：１
洋式：２
子供用小便器：１,１か所
おむつ台：１
乳幼児チェア：１
"POINT (138.1980984 36.6526354)",つるのお宿,※男女兼用
手洗：１
和式：１
小便器：１,※男女兼用
手洗：１
和式：１
小便器：１,１か所
"POINT (138.2013367 36.6500304)",八角処,手洗：１
和式：１
小便器：２,手洗：１
洋式：１
和式：１,１か所
"POINT (138.1859835 36.6484942)",石堂の泉,手洗：１
和式：１
小便器：２,手洗：２
洋式：１
和式：１,１か所
"POINT (138.1881516 36.6434057)",長野駅善光寺口,手洗：３
洋式：２
和式：１
小便器：５
オストメイト対応：１
おむつ台：１
乳幼児チェア：１,手洗：３
洋式：３
和式：１
子供用小便器：１
オストメイト対応：１
おむつ台：１
乳幼児チェア：１,３か所
オストメイト対応：１
おむつ台：１
"POINT (138.1897376 36.6430708)",長野駅東口,手洗：２
洋式：２
小便器：５
乳幼児チェア：１,手洗：３
洋式：４
和式：１
おむつ台：１
乳幼児チェア：２,１か所
オストメイト対応：１
おむつ台：１
乳幼児チェア：１
"POINT (138.2001788 36.6410094)",南部のせせらぎ,手洗：１
和式：１
小便器：２,手洗：１
和式：１,２か所
"POINT (138.2208032 36.667196)",大銀杏,手洗：２
洋式：１
和式：１
小便器：３,手洗：２
洋式：１
和式：１
子供用小便器：１
おむつ台：１,１か所
"POINT (138.1904974 36.6929051)",浅川ループライン展望広場,手洗：１
洋式：１
小便器：１,手洗：１
洋式：１,１か所
オストメイト対応：１
おむつ台：１
乳幼児チェア：１
"POINT (138.1613289 36.6297711)",杏の泉,手洗：１
洋式：１
小便器：２,手洗：１
洋式：１
和式：１
おむつ台：１,１か所
オストメイト対応：１
"POINT (138.1451584 36.5954452)",今井駅,手洗：１
洋式：１
小便器：２
乳幼児チェア：１,手洗：２
洋式：２
乳幼児チェア：２,１か所
オストメイト対応：１
おむつ台：１
"POINT (138.1385638 36.5776227)",篠ノ井駅東口,手洗：１
和式：１
小便器：２,手洗：１
洋式：１
和式：１,１か所
おむつ台：１
乳幼児チェア：１
"POINT (138.1374022 36.5778353)",恐竜のみち,手洗：１
和式：１
小便器：２,手洗：２
洋式：１
和式：１
,１か所
"POINT (138.139442 36.5721014)",通い路,手洗：１
洋式：１
小便器：２
乳幼児チェア：１,手洗：１
洋式：２
乳幼児チェア：１,１か所
おむつ台：１
乳幼児チェア：１
"POINT (138.1846388 36.5650409)",カチューシャのふる里,手洗：１
洋式：１
小便器：２,手洗：１
洋式：１
和式：１,１か所
"POINT (138.1985732 36.566097)",松代駅前,手洗：１
洋式：１
小便器：１
乳幼児チェア：１,手洗：２
洋式：２
乳幼児チェア：１,１か所
オストメイト対応：１
おむつ台：１
"POINT (138.2009464 36.5611707)",清々庵,手洗：２
洋式：１
小便器：３,手洗：２
洋式：２
和式：１
子供用小便器：１,１か所
"POINT (138.1967367 36.5591907)",悠楽庵,手洗：１
洋式：１
小便器：２,手洗：１
洋式：１
和式：１,１か所
"POINT (138.1977915 36.562959)",緑泉苑,手洗：２
洋式：１
小便器：４,手洗：２
洋式：２
和式：１
子供用小便器：１,１か所
おむつ台：１
"POINT (138.2035998 36.5631263)",松代祝（ほうり）の泉,※男女兼用
手洗：１
和式：１
小便器：２,,１か所
"POINT (138.2028697 36.5435878)",松代地震観測所前,手洗：１
和式：１
小便器：１,手洗：１
和式：１,１か所
"POINT (138.1999576 36.5893523)",金井山,※男女兼用
手洗：１
和式：１
小便器：１,,なし
"POINT (138.2383977 36.6056031)",信濃川田駅,なし,手洗：１
洋式：１,１か所
"POINT (138.2595034 36.6250793)",綿内駅公衆トイレ,なし,手洗：１
洋式：１,１か所
"POINT (138.1535832 36.6759303)",芋井さくら,手洗：１
小便器：１,手洗：１
和式：１,１か所
"POINT (138.088008 36.6167343)",七二会瀬脇公衆トイレ,手洗：１
和式：１
小便器：１,手洗：１
和式：１,１か所
おむつ台：１
"POINT (138.0777793 36.6273428)",市場のまちかど,手洗：１
和式：１
小便器：２,手洗：１
和式：１,１か所
"POINT (138.0819438 36.6089357)",七二会笹平公衆トイレ,※男女兼用
手洗：１
和式：１
小便器：１,,なし
"POINT (138.0722431 36.5716875)",泉の園,手洗：１
和式：１
小便器：１,手洗：１
和式：１,１か所
"POINT (138.294787 36.7218339)",信濃浅野駅前公衆トイレ,手洗：１
洋式：１
小便器：２,手洗：１
和式：２,１か所
"POINT (138.0913317 36.7062539)",馬場公衆トイレ,手洗：１
洋式：１
小便器：２,手洗：１
和式：１,１か所
"POINT (138.0894238 36.7020811)",戸隠支所前公衆トイレ,手洗：１
洋式：１
小便器：２,手洗：１
洋式：１
和式：１,１か所
"POINT (138.0967255 36.7039732)",中村公衆トイレ,※男女兼用
手洗：１
和式：１
小便器：１,,１か所
"POINT (138.0794311 36.6877752)",折橋公衆トイレ,手洗：１
小便器：１,なし,１か所
"POINT (138.1066117 36.6931594)",銚子口公衆トイレ,※男女兼用
手洗：１
洋式：１
小便器：１,,なし
"POINT (138.0761909 36.7313686)",宝光社,手洗：１
小便器：１,なし,１か所
"POINT (138.0487641 36.6721972)",追通(おっかよう）公衆トイレ,※男女兼用
手洗：１
和式：１
洋式：１,,なし
"POINT (138.0812231 36.670494)",土合公衆トイレ,手洗：１
和式：１
小便器：１,手洗：１
和式：１,なし
"POINT (138.0938708 36.67031)",下内,手洗：１
洋式：１
小便器：１,手洗：１
洋式：２,１か所
"POINT (138.0557846 36.6698816)",上祖山公衆トイレ,手洗：１
小便器：１,なし,１か所
"POINT (138.0049807 36.6825808)",須田町公衆トイレ,手洗：１
和式：１
小便器：２,手洗：１
和式：２,なし
"POINT (137.9783449 36.4870377)",大岡芦ノ尻,※男女兼用
手洗：１
和式：１
小便器：１,,なし
"POINT (137.965497 36.5353449)",川口バス停公衆トイレ,※男女兼用
手洗：１
和式：１,,なし
"POINT (138.0035346 36.6372084)",高福寺公衆トイレ,手洗：１
小便器：２,手洗：１
洋式：１
和式：１,１か所
"POINT (138.2346198 36.660129)",トイレ,,,
